age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
32,45422,8.9,11,5.6,6,9,38,3,49590,57125,9,5,2,7,6,7,10,3,6,4,6,Male,Tier 2,Hybrid
31,110165,6.5,5,5.0,6,8,22,15,98892,81831,10,4,5,9,5,7,8,6,6,6,9,Male,Tier 3,Store
49,62533,3.9,2,1.6,5,4,17,10,63944,84058,9,5,2,4,7,6,7,6,6,5,9,Female,Tier 3,Store
75,141386,6.7,8,3.3,2,3,9,16,27120,61215,6,5,3,6,5,3,8,10,7,3,6,Other,Tier 1,Store
31,84558,8.1,9,4.9,5,9,33,9,43677,113243,7,8,1,5,10,9,9,3,7,6,10,Other,Tier 1,Hybrid
48,138160,6.0,4,4.1,6,8,33,8,95548,93010,5,8,3,6,7,8,9,9,5,6,7,Female,Tier 2,Store
54,96629,7.5,4,3.2,5,10,25,14,27788,107830,7,6,4,5,6,6,3,8,4,7,6,Male,Tier 2,Store
60,151101,6.5,7,3.3,7,8,24,15,113209,114127,5,6,4,6,1,10,7,10,2,4,2,Male,Tier 1,Store
39,81255,6.0,9,4.8,6,6,16,18,67681,100292,6,7,2,5,7,4,6,10,5,7,10,Female,Tier 2,Store
57,183054,4.4,9,3.4,4,5,13,8,73544,97224,7,6,3,8,6,6,6,10,5,7,7,Male,Tier 1,Store
33,55250,6.2,8,2.3,5,7,29,6,76413,500,10,2,7,6,5,6,8,1,6,7,4,Male,Tier 3,Store
55,136879,5.5,9,1.2,7,8,18,7,48784,58319,7,7,2,6,1,5,5,8,2,7,6,Male,Tier 1,Store
34,47356,8.2,14,6.0,6,9,20,5,80707,33354,10,3,6,10,3,8,10,3,4,5,6,Male,Tier 2,Hybrid
69,124945,7.5,5,0.8,5,7,29,7,120623,28833,6,6,4,8,1,7,5,7,4,6,5,Female,Tier 3,Store
37,155586,8.3,13,6.0,8,7,14,8,46976,50720,3,3,2,9,5,2,10,7,5,7,10,Male,Tier 1,Hybrid
30,141823,7.7,14,3.8,9,10,31,0,93036,500,6,0,5,3,7,8,10,4,4,10,4,Male,Tier 1,Online
43,77450,7.7,8,3.3,5,7,32,2,111393,53626,8,5,2,9,5,8,8,5,4,10,7,Female,Tier 1,Hybrid
38,127775,9.6,4,2.2,4,7,39,8,99759,87138,6,4,7,3,5,7,10,2,3,9,8,Male,Tier 2,Hybrid
48,203580,4.0,5,3.0,4,6,19,9,87711,121225,6,4,4,4,9,6,7,7,5,5,8,Male,Tier 1,Store
43,214108,4.6,9,1.8,3,10,22,5,105584,65520,5,2,1,3,3,8,8,5,8,3,5,Female,Tier 1,Hybrid
45,119083,6.3,8,3.2,7,5,17,6,88674,24312,5,3,6,8,4,7,8,6,6,8,7,Male,Tier 2,Store
43,35828,6.4,11,2.9,6,5,12,3,87188,68710,7,9,3,6,7,4,7,2,1,10,6,Female,Tier 3,Hybrid
69,103644,3.5,3,1.7,5,7,16,10,3134,50409,6,5,4,8,2,7,4,10,6,3,4,Female,Tier 1,Store
24,104088,9.2,4,4.1,7,10,36,11,137615,60348,10,5,2,6,9,10,10,7,7,10,3,Female,Tier 2,Hybrid
49,123075,6.8,9,4.2,5,10,35,6,143279,51637,6,7,3,4,2,7,7,6,6,3,8,Female,Tier 2,Hybrid
53,154722,7.3,8,2.2,4,8,24,9,44652,75787,7,1,3,9,9,8,4,5,5,7,8,Other,Tier 1,Hybrid
40,158213,3.4,7,2.7,5,9,13,12,64792,140131,5,7,1,6,1,6,5,8,4,9,5,Male,Tier 1,Store
45,120517,7.9,12,3.3,3,9,40,8,119732,104989,6,4,4,4,8,5,5,2,6,10,10,Female,Tier 2,Online
62,78157,7.0,1,2.7,5,3,7,9,25671,49389,6,7,3,5,6,5,6,4,4,4,7,Male,Tier 3,Store
47,131677,8.0,6,3.9,5,10,19,14,100126,79697,5,0,6,6,4,5,6,8,2,7,7,Female,Tier 2,Store
52,118633,10.1,8,3.4,8,10,48,2,103975,42096,10,7,1,8,6,9,9,4,8,6,7,Female,Tier 1,Online
38,68027,8.0,12,3.1,5,10,27,7,50311,49661,9,5,4,5,8,9,6,7,1,10,4,Male,Tier 3,Hybrid
77,73931,4.7,8,2.1,5,6,11,11,51126,55003,3,1,5,4,1,2,7,10,5,9,3,Male,Tier 3,Store
39,150594,8.4,7,4.6,5,6,27,7,62747,65408,4,1,4,5,5,6,9,7,4,9,5,Female,Tier 3,Store
20,100903,9.2,3,6.0,5,9,45,8,129072,75002,6,5,6,4,9,7,10,5,5,8,5,Male,Tier 3,Online
52,136333,7.7,7,3.0,4,5,23,8,150000,95742,2,8,2,6,6,1,5,10,6,2,7,Other,Tier 3,Store
33,118724,5.6,12,1.9,7,9,21,9,92187,52575,8,6,5,9,9,6,4,4,4,7,3,Male,Tier 3,Hybrid
33,145801,11.0,10,6.0,2,9,45,0,66502,29056,8,8,4,6,10,5,10,3,3,5,4,Other,Tier 1,Hybrid
46,92448,8.2,9,5.7,6,7,21,3,48074,35769,4,2,6,5,5,4,8,1,4,6,3,Male,Tier 2,Online
54,117227,6.6,6,1.8,4,9,26,12,109406,12867,6,7,5,8,7,5,6,2,9,4,9,Male,Tier 3,Hybrid
36,195959,7.2,6,4.8,7,8,24,11,87179,124189,3,3,3,2,9,8,10,4,3,3,4,Other,Tier 1,Hybrid
31,51571,10.0,14,5.4,6,9,43,10,110177,52787,5,4,6,7,7,6,9,6,7,7,4,Female,Tier 3,Hybrid
30,101622,8.6,9,3.7,5,10,27,11,98852,22637,6,6,2,5,1,5,4,4,7,10,8,Female,Tier 1,Hybrid
52,46531,7.4,10,2.6,8,9,41,5,91824,10706,8,7,6,5,8,5,1,2,7,9,7,Male,Tier 3,Hybrid
21,60895,6.5,4,3.8,5,10,38,8,60002,59927,8,5,3,7,8,9,7,6,1,8,5,Other,Tier 2,Store
53,94543,6.8,7,2.4,6,9,28,9,81791,77176,9,1,5,9,7,6,1,3,6,3,9,Male,Tier 3,Store
37,95400,8.0,14,4.1,9,9,33,8,94998,27699,7,5,2,5,2,6,10,6,6,5,3,Male,Tier 2,Store
61,131168,6.4,4,4.0,5,8,11,10,900,53259,7,6,3,3,3,6,5,6,2,6,5,Male,Tier 2,Store
50,23449,5.3,7,4.1,4,7,23,9,19479,50245,7,4,2,2,8,5,9,4,4,6,4,Female,Tier 2,Hybrid
61,15000,7.1,8,3.3,4,4,10,6,1362,54809,4,5,7,6,5,7,7,10,3,10,4,Male,Tier 3,Store
41,86206,9.2,7,4.2,9,10,32,4,104799,76394,5,5,6,8,10,4,9,7,6,5,4,Female,Tier 2,Online
50,192099,3.7,8,3.8,5,6,5,15,41255,113643,6,1,5,4,6,6,5,6,5,3,6,Other,Tier 3,Store
79,146908,3.8,5,2.0,7,4,10,16,86628,63021,8,3,4,7,4,6,4,10,6,7,5,Female,Tier 2,Store
48,110687,5.3,12,2.2,7,9,24,9,3013,36071,7,6,4,5,4,6,4,6,7,9,7,Male,Tier 3,Hybrid
43,164874,8.6,11,5.5,4,6,18,7,80627,24825,7,5,4,7,6,6,7,3,6,7,4,Other,Tier 2,Store
40,96280,10.3,4,5.5,3,10,43,8,101705,20630,5,9,3,4,8,7,8,7,7,8,6,Male,Tier 2,Hybrid
60,95995,4.0,3,2.8,1,5,17,6,12645,51826,8,6,4,9,6,7,6,5,6,8,3,Other,Tier 1,Store
61,105869,2.2,1,3.5,6,8,31,12,134664,129066,7,6,3,4,10,7,4,7,5,8,6,Male,Tier 1,Store
79,34335,5.5,11,2.9,1,5,25,9,65842,43559,9,6,5,5,7,2,8,7,5,3,5,Other,Tier 3,Store
60,78086,6.1,13,3.0,3,6,31,12,32297,109022,5,4,4,5,2,1,10,7,8,9,10,Male,Tier 2,Store
20,109908,10.1,1,6.0,8,10,33,6,79223,75671,7,1,5,9,7,8,8,4,4,10,6,Other,Tier 2,Hybrid
26,128320,9.8,2,2.9,2,10,39,6,137965,74667,9,5,4,6,6,4,7,5,1,4,7,Male,Tier 1,Hybrid
67,71168,4.1,7,2.1,4,3,5,14,992,36101,6,4,3,8,2,7,6,10,6,4,5,Female,Tier 2,Store
57,174557,7.3,8,2.9,10,9,45,1,60001,62873,6,6,5,3,10,6,9,1,4,7,4,Female,Tier 3,Online
18,110006,10.4,1,5.0,3,8,20,14,106376,43829,6,3,7,6,4,5,7,8,3,6,3,Female,Tier 3,Store
64,59583,5.9,1,2.3,3,5,11,5,16111,500,5,0,4,3,1,5,4,9,5,6,3,Female,Tier 2,Store
32,138226,8.8,14,4.6,4,9,17,9,900,65290,10,3,6,5,8,8,8,10,3,9,7,Other,Tier 2,Store
23,109673,10.0,7,4.9,5,10,33,11,70192,44312,6,4,5,8,7,6,10,3,2,9,4,Female,Tier 3,Online
45,150672,6.2,3,2.8,5,10,31,5,107502,72335,2,5,3,3,7,7,6,9,6,7,8,Male,Tier 2,Hybrid
68,92893,3.7,10,1.5,4,9,26,1,70376,17184,7,7,6,8,4,6,1,7,5,2,4,Male,Tier 3,Hybrid
58,185902,4.7,7,2.4,3,6,25,5,118680,99423,7,1,5,4,10,2,6,8,9,4,1,Male,Tier 2,Store
24,15000,8.4,1,1.4,4,7,24,14,88655,70796,6,5,3,9,4,7,10,5,3,4,8,Female,Tier 3,Store
49,116587,9.6,9,2.5,5,7,37,4,123340,12819,8,9,4,5,9,7,4,7,6,6,9,Female,Tier 2,Hybrid
56,158802,6.3,11,2.6,2,6,15,12,93727,94509,2,0,3,6,2,7,2,7,6,2,6,Female,Tier 2,Store
18,38860,12.0,4,5.7,10,9,48,8,115148,4001,6,7,3,5,6,8,10,6,4,10,1,Female,Tier 1,Online
50,121374,6.0,5,1.1,3,4,10,9,95491,100687,5,6,2,6,5,2,6,8,6,8,6,Male,Tier 1,Store
75,101342,3.8,5,1.5,6,9,16,0,68339,32831,6,1,4,7,2,6,3,6,8,4,5,Female,Tier 2,Store
43,175208,7.5,4,3.7,5,9,17,12,88914,105941,1,2,1,5,7,6,10,6,3,10,7,Male,Tier 1,Hybrid
43,114908,5.2,8,0.6,3,6,11,10,72947,89411,5,4,4,6,1,5,1,8,6,5,7,Other,Tier 2,Hybrid
47,157247,6.6,7,3.8,7,8,20,9,126891,69626,4,5,4,5,6,7,3,8,5,4,10,Female,Tier 1,Store
40,206391,10.1,5,4.8,3,6,26,9,98102,77192,4,7,4,4,10,5,8,6,9,5,2,Other,Tier 1,Store
58,65365,5.7,4,2.3,6,8,23,10,89648,43608,7,6,4,4,9,6,3,8,10,10,1,Female,Tier 3,Store
69,55393,4.9,5,3.5,5,6,8,11,900,91103,7,3,6,6,3,2,1,9,5,3,1,Male,Tier 3,Store
54,116663,3.4,3,2.8,3,4,10,15,93140,102301,10,3,2,7,4,5,9,6,6,10,3,Female,Tier 1,Store
53,196921,6.3,6,3.1,6,6,26,6,68086,80826,3,6,5,2,8,5,7,6,7,7,8,Female,Tier 1,Store
43,150035,5.1,11,3.8,5,8,24,2,119124,97658,6,8,5,5,8,7,2,5,6,4,4,Female,Tier 2,Hybrid
44,203189,8.9,10,4.3,7,8,42,6,107462,81423,4,8,3,5,3,7,9,6,4,7,6,Male,Tier 2,Online
34,45804,6.5,13,0.3,7,7,40,10,135427,21755,10,9,5,9,4,3,5,5,3,6,8,Female,Tier 3,Hybrid
34,107331,6.4,6,3.7,4,10,41,4,34803,500,10,7,3,6,10,5,8,2,4,5,7,Female,Tier 3,Hybrid
42,203362,6.6,13,0.9,9,10,30,4,150000,67669,6,0,5,3,10,4,6,6,3,5,4,Female,Tier 2,Hybrid
46,100644,7.6,6,2.5,6,7,30,8,75998,76462,5,0,3,6,9,9,6,5,4,6,3,Male,Tier 2,Hybrid
28,98421,8.9,11,5.0,7,10,35,12,140819,64787,8,4,5,8,5,7,6,7,1,7,9,Male,Tier 2,Hybrid
79,71363,3.4,9,1.9,6,4,4,18,27295,84358,3,7,5,4,4,5,6,10,9,5,5,Other,Tier 2,Store
40,148713,7.1,8,5.7,7,9,22,11,92353,72812,3,6,5,4,6,7,6,8,5,5,9,Female,Tier 2,Store
52,83048,4.6,2,2.3,3,7,16,6,68243,74409,7,3,3,1,6,8,5,7,7,8,8,Other,Tier 1,Store
52,190290,6.1,5,3.7,5,7,27,7,132684,27478,7,5,3,6,6,6,6,4,6,4,7,Female,Tier 2,Hybrid
79,115133,5.5,11,0.6,2,4,16,12,90126,131603,7,0,7,7,5,3,4,8,7,1,3,Male,Tier 3,Store
50,156661,5.9,13,4.6,7,9,33,13,45500,94764,6,5,1,4,8,9,7,3,3,10,5,Female,Tier 1,Hybrid
25,126432,9.0,12,4.8,9,10,40,3,150000,71737,8,4,5,4,3,9,8,1,1,5,8,Male,Tier 2,Hybrid
51,151714,6.2,5,5.3,4,5,11,10,72389,68491,10,2,4,7,9,5,9,6,4,8,5,Male,Tier 3,Store
49,169328,6.8,10,2.4,8,10,38,1,150000,104847,5,8,3,5,5,8,5,5,5,7,8,Male,Tier 1,Hybrid
46,125269,8.6,5,4.5,5,10,36,11,88346,86857,6,9,3,5,9,9,5,3,6,7,7,Other,Tier 1,Store
35,127941,9.2,6,3.4,6,10,37,12,5656,87907,6,7,4,5,8,5,7,7,1,7,3,Other,Tier 2,Hybrid
35,250000,8.8,12,3.6,9,7,28,6,150000,103849,2,6,4,6,7,5,6,6,5,9,10,Female,Tier 1,Store
32,162427,7.6,12,4.3,8,8,19,12,62938,82994,7,8,4,3,8,8,6,4,7,5,7,Male,Tier 2,Hybrid
46,131319,6.5,11,3.5,3,10,17,15,76234,112938,6,7,3,6,7,7,7,6,7,8,5,Male,Tier 2,Store
39,25601,8.4,1,2.3,9,10,28,5,68910,2788,7,6,2,10,10,3,6,3,7,9,8,Male,Tier 3,Online
45,151938,7.3,2,3.3,7,8,17,4,85955,46486,8,3,5,4,1,6,8,5,3,5,10,Female,Tier 3,Hybrid
51,162713,3.7,6,3.0,7,5,5,19,94146,64205,9,4,5,6,3,4,7,9,4,7,3,Female,Tier 1,Store
79,58456,5.4,4,3.2,4,4,5,14,2339,34588,7,2,5,9,3,5,5,10,8,1,7,Male,Tier 3,Store
64,105767,8.0,11,3.2,6,9,37,10,95063,39696,5,3,6,6,7,5,7,3,6,6,1,Male,Tier 2,Online
18,144709,7.7,2,5.2,4,10,37,5,79146,39141,5,9,4,5,10,8,10,4,3,10,1,Male,Tier 2,Hybrid
