branch,order_id,order_dt,category,menu,sweet_level,price,cost,qty,revenue,gross_profit,gross_margin,trans_type,payment,gender,membership,member_id
alpha,alpha002835,2023-02-01 14:59:00,tea,Yuzu Tea,0.0,70,24.5,3,210,136.5,0.65,to go,credit card,M,True,141.0
beta,beta004505,2023-02-02 12:29:00,tea,Thai Tea,0.25,70,17.5,2,140,105.0,0.75,to go,credit card,M,True,915.0
beta,beta004583,2023-02-02 17:33:00,coffee,Nitro Flat White,0.75,155,69.75,1,155,85.25,0.55,to go,mobile,M,True,6.0
beta,beta004605,2023-02-02 19:30:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,True,14.0
alpha,alpha002968,2023-02-03 07:18:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,mobile,F,True,58.0
alpha,alpha003002,2023-02-03 10:33:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,credit card,F,True,111.0
beta,beta004693,2023-02-03 13:56:00,tea,Green Tea,0.5,65,19.5,3,195,136.5,0.7,delivery,mobile,F,True,27.0
alpha,alpha003172,2023-02-05 15:22:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,credit card,M,True,68.0
alpha,alpha003318,2023-02-06 17:51:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,F,True,109.0
alpha,alpha003349,2023-02-06 21:59:00,tea,Black Tea,0.75,45,9.0,2,90,72.0,0.8,delivery,credit card,M,False,
beta,beta005234,2023-02-08 08:12:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,eat in,mobile,F,True,923.0
beta,beta005279,2023-02-08 12:58:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,delivery,mobile,M,True,905.0
alpha,alpha003649,2023-02-09 15:09:00,coffee,Americano,1.0,45,13.5,1,45,31.5,0.7,to go,mobile,M,False,
alpha,alpha003652,2023-02-09 15:15:00,coffee,Latte,0.75,65,26.0,3,195,117.0,0.6,to go,credit card,M,False,
beta,beta005466,2023-02-09 16:35:00,smoothie,Kiwi Smoothie,0.5,90,40.5,4,360,198.0,0.55,delivery,mobile,F,True,17.0
alpha,alpha003768,2023-02-10 12:46:00,smoothie,Mango Smoothie,0.0,90,31.5,2,180,117.0,0.65,eat in,mobile,F,True,963.0
beta,beta005588,2023-02-10 12:48:00,coffee,Nitro Flat White,0.5,155,69.75,1,155,85.25,0.55,eat in,mobile,F,True,883.0
beta,beta005859,2023-02-13 08:23:00,tea,Green Tea,0.5,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,911.0
alpha,alpha003953,2023-02-13 10:17:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,eat in,mobile,F,False,
alpha,alpha004030,2023-02-13 16:44:00,tea,Green Tea,0.75,65,19.5,1,65,45.5,0.7,to go,credit card,M,False,
beta,beta006002,2023-02-13 18:01:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,True,135.0
alpha,alpha004071,2023-02-13 21:48:00,coffee,Latte,0.25,65,26.0,1,65,39.0,0.6,eat in,credit card,F,False,
beta,beta006044,2023-02-14 07:26:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,delivery,mobile,M,True,102.0
beta,beta006045,2023-02-14 07:56:00,tea,Bubble Tea,0.0,70,17.5,3,210,157.5,0.75,delivery,credit card,F,True,961.0
alpha,alpha004236,2023-02-15 16:13:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,eat in,credit card,M,True,98.0
beta,beta006489,2023-02-16 18:26:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,True,970.0
alpha,alpha004426,2023-02-17 15:35:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,credit card,F,False,
alpha,alpha004557,2023-02-20 09:05:00,coffee,Iced Latte,0.25,65,19.5,2,130,91.0,0.7,to go,mobile,M,False,
alpha,alpha004648,2023-02-20 19:28:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,eat in,credit card,F,True,50.0
beta,beta007081,2023-02-21 10:43:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,delivery,mobile,F,True,37.0
beta,beta007225,2023-02-22 12:00:00,coffee,Iced Latte,0.75,65,19.5,1,65,45.5,0.7,to go,mobile,F,True,895.0
alpha,alpha004919,2023-02-23 13:56:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,eat in,mobile,F,False,
beta,beta007476,2023-02-24 08:15:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,mobile,M,False,
alpha,alpha005034,2023-02-24 12:29:00,coffee,Iced Americano,0.5,45,13.5,1,45,31.5,0.7,to go,mobile,F,True,90.0
beta,beta007678,2023-02-25 11:00:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,mobile,M,True,876.0
alpha,alpha005153,2023-02-25 14:02:00,coffee,Americano,0.5,45,13.5,3,135,94.5,0.7,to go,credit card,M,False,
beta,beta007719,2023-02-25 15:51:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,mobile,M,True,56.0
beta,beta007806,2023-02-27 08:17:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,mobile,F,False,
beta,beta007863,2023-02-27 12:25:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,M,True,857.0
alpha,alpha005356,2023-02-28 07:33:00,tea,Bubble Tea,0.25,70,17.5,1,70,52.5,0.75,delivery,credit card,M,False,
beta,beta007974,2023-02-28 08:38:00,coffee,Cappuccino,1.0,75,26.25,1,75,48.75,0.65,eat in,mobile,M,True,836.0
beta,beta008012,2023-02-28 10:37:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,eat in,credit card,F,True,861.0
alpha,alpha005462,2023-03-01 08:35:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,credit card,M,False,
beta,beta008200,2023-03-01 15:00:00,coffee,Nitro Flat White,0.0,155,69.75,1,155,85.25,0.55,to go,mobile,M,True,1015.0
alpha,alpha005533,2023-03-01 20:46:00,tea,Green Tea,1.0,65,19.5,1,65,45.5,0.7,to go,mobile,F,False,
beta,beta008296,2023-03-02 10:57:00,tea,Thai Tea,0.75,70,17.5,2,140,105.0,0.75,delivery,mobile,M,True,1016.0
beta,beta008333,2023-03-02 14:22:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,103.0
beta,beta008527,2023-03-03 18:38:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,to go,mobile,F,False,
alpha,alpha005741,2023-03-03 19:38:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,credit card,F,True,177.0
beta,beta008593,2023-03-04 15:08:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,delivery,mobile,M,True,998.0
alpha,alpha005786,2023-03-04 17:44:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,credit card,F,False,
alpha,alpha005790,2023-03-04 19:28:00,tea,Green Tea,0.5,65,19.5,5,325,227.5,0.7,delivery,mobile,F,False,
beta,beta008857,2023-03-08 08:03:00,bakery,Muffin,,60,27.0,6,360,198.0,0.55,to go,cash,F,False,
beta,beta008870,2023-03-08 09:35:00,bakery,Donut,,40,12.0,2,80,56.0,0.7,to go,credit card,M,True,1023.0
alpha,alpha006062,2023-03-08 15:10:00,tea,Green Tea,0.25,65,19.5,4,260,182.0,0.7,to go,mobile,M,True,7.0
alpha,alpha006245,2023-03-10 13:13:00,smoothie,Kiwi Smoothie,0.25,90,40.5,1,90,49.5,0.55,eat in,credit card,M,True,1002.0
beta,beta009227,2023-03-10 15:07:00,tea,Bubble Tea,0.5,70,17.5,2,140,105.0,0.75,eat in,mobile,M,True,1005.0
alpha,alpha006343,2023-03-11 12:24:00,coffee,Iced Latte,0.5,65,19.5,1,65,45.5,0.7,eat in,mobile,M,False,
alpha,alpha006360,2023-03-11 21:08:00,coffee,Americano,0.25,45,13.5,1,45,31.5,0.7,to go,cash,F,False,
alpha,alpha006423,2023-03-13 13:23:00,coffee,Cappuccino,0.5,75,26.25,3,225,146.25,0.65,delivery,credit card,F,False,
alpha,alpha006446,2023-03-13 15:52:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,mobile,F,False,
beta,beta009682,2023-03-14 14:44:00,tea,Green Tea,0.75,65,19.5,2,130,91.0,0.7,delivery,mobile,F,True,213.0
beta,beta009755,2023-03-15 08:02:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,M,True,189.0
beta,beta009760,2023-03-15 08:14:00,coffee,Latte,0.5,65,26.0,1,65,39.0,0.6,eat in,mobile,F,True,148.0
beta,beta009893,2023-03-15 17:58:00,coffee,Espresso,0.5,55,19.25,1,55,35.75,0.65,to go,mobile,M,True,844.0
alpha,alpha006777,2023-03-16 18:04:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,delivery,credit card,M,True,68.0
beta,beta010073,2023-03-16 21:40:00,tea,Thai Tea,1.0,70,17.5,2,140,105.0,0.75,eat in,mobile,M,True,882.0
beta,beta010084,2023-03-17 07:42:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,delivery,mobile,M,True,875.0
beta,beta010133,2023-03-17 10:48:00,coffee,Iced Latte,0.25,65,19.5,2,130,91.0,0.7,to go,mobile,M,True,929.0
alpha,alpha006912,2023-03-17 17:20:00,smoothie,Watermelon Smoothie,0.75,75,30.0,3,225,135.0,0.6,to go,credit card,M,False,
alpha,alpha006961,2023-03-18 16:05:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,mobile,M,False,
beta,beta010530,2023-03-20 14:50:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,delivery,mobile,M,True,214.0
alpha,alpha007158,2023-03-21 08:41:00,coffee,Mocha,1.0,70,28.0,2,140,84.0,0.6,to go,credit card,M,False,
alpha,alpha007486,2023-03-24 08:48:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,to go,mobile,F,False,
beta,beta011142,2023-03-24 13:51:00,tea,Jasmine Tea,0.0,55,11.0,1,55,44.0,0.8,to go,mobile,M,True,186.0
beta,beta011222,2023-03-24 18:46:00,tea,Bubble Tea,0.5,70,17.5,3,210,157.5,0.75,to go,mobile,F,True,1031.0
beta,beta011322,2023-03-26 10:03:00,tea,Bubble Tea,0.25,70,17.5,3,210,157.5,0.75,to go,mobile,F,True,171.0
alpha,alpha007732,2023-03-27 13:37:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,1002.0
alpha,alpha007994,2023-03-29 18:01:00,coffee,Cappuccino,0.5,75,26.25,1,75,48.75,0.65,to go,credit card,M,False,
beta,beta011958,2023-03-30 13:10:00,tea,Bubble Tea,0.5,70,17.5,2,140,105.0,0.75,to go,mobile,F,True,125.0
alpha,alpha008077,2023-03-30 15:19:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,mobile,M,False,
beta,beta012023,2023-03-30 17:41:00,tea,Bubble Tea,1.0,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
beta,beta012168,2023-03-31 15:21:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,M,True,77.0
alpha,alpha008245,2023-03-31 21:51:00,smoothie,Kiwi Smoothie,0.75,90,40.5,3,270,148.5,0.55,delivery,mobile,F,False,
beta,beta012264,2023-04-01 10:55:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,credit card,F,True,968.0
beta,beta012382,2023-04-02 15:48:00,smoothie,Strawberry Smoothie,0.0,85,25.5,1,85,59.5,0.7,to go,mobile,F,True,933.0
beta,beta012403,2023-04-03 07:51:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,31.0
beta,beta012449,2023-04-03 10:52:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,to go,mobile,F,False,
beta,beta012490,2023-04-03 15:00:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,delivery,mobile,M,False,
alpha,alpha008412,2023-04-03 20:48:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,M,True,983.0
alpha,alpha008461,2023-04-04 12:26:00,coffee,Latte,0.75,65,26.0,1,65,39.0,0.6,to go,credit card,M,True,926.0
alpha,alpha008484,2023-04-04 14:34:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,credit card,M,False,
alpha,alpha008601,2023-04-05 19:04:00,tea,Green Tea,0.75,65,19.5,1,65,45.5,0.7,to go,credit card,F,False,
beta,beta012902,2023-04-07 09:30:00,coffee,Iced Latte,0.0,65,19.5,3,195,136.5,0.7,eat in,mobile,M,True,877.0
beta,beta012994,2023-04-07 16:43:00,coffee,Latte,0.5,65,26.0,3,195,117.0,0.6,to go,mobile,M,True,231.0
alpha,alpha008788,2023-04-07 18:29:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,delivery,credit card,F,True,138.0
alpha,alpha008799,2023-04-07 20:22:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,eat in,credit card,F,False,
beta,beta013058,2023-04-08 12:05:00,tea,Bubble Tea,0.75,70,17.5,1,70,52.5,0.75,to go,mobile,F,False,
beta,beta013198,2023-04-10 11:05:00,tea,Thai Tea,0.5,70,17.5,1,70,52.5,0.75,to go,cash,F,True,236.0
alpha,alpha008941,2023-04-10 15:32:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,delivery,credit card,F,False,
beta,beta013298,2023-04-10 18:03:00,bakery,Croissant,,85,46.75000000000001,1,85,38.24999999999999,0.4499999999999999,to go,mobile,F,True,116.0
beta,beta013405,2023-04-11 15:38:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,eat in,mobile,F,True,259.0
beta,beta013466,2023-04-12 08:26:00,coffee,Nitro Flat White,0.75,155,69.75,1,155,85.25,0.55,eat in,mobile,M,True,276.0
beta,beta013547,2023-04-12 17:18:00,tea,Jasmine Tea,1.0,55,11.0,1,55,44.0,0.8,to go,mobile,F,True,865.0
alpha,alpha009272,2023-04-14 13:16:00,bakery,Sandwich,,80,28.0,2,160,104.0,0.65,to go,credit card,M,False,
alpha,alpha009335,2023-04-16 18:20:00,coffee,Iced Latte,0.0,65,19.5,1,65,45.5,0.7,to go,credit card,F,False,
alpha,alpha009375,2023-04-17 13:32:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,delivery,credit card,F,False,
beta,beta013811,2023-04-18 12:00:00,tea,Bubble Tea,0.5,70,17.5,1,70,52.5,0.75,to go,mobile,F,True,1034.0
beta,beta013827,2023-04-18 12:56:00,coffee,Mocha,0.0,70,28.0,1,70,42.0,0.6,to go,mobile,M,True,1083.0
alpha,alpha009463,2023-04-18 13:01:00,coffee,Latte,0.75,65,26.0,2,130,78.0,0.6,to go,mobile,F,True,149.0
beta,beta014274,2023-04-21 12:21:00,coffee,Iced Latte,0.0,65,19.5,2,130,91.0,0.7,delivery,mobile,F,True,999.0
alpha,alpha009766,2023-04-21 12:26:00,coffee,Cappuccino,0.25,75,26.25,1,75,48.75,0.65,eat in,mobile,M,False,
alpha,alpha009846,2023-04-22 12:06:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,to go,credit card,M,False,
alpha,alpha009853,2023-04-22 15:54:00,tea,Green Tea,0.25,65,19.5,1,65,45.5,0.7,eat in,credit card,F,False,
alpha,alpha009878,2023-04-23 14:07:00,coffee,Nitro Flat White,0.5,155,69.75,1,155,85.25,0.55,delivery,cash,M,False,
alpha,alpha009889,2023-04-24 07:54:00,coffee,Latte,0.0,65,26.0,1,65,39.0,0.6,eat in,credit card,F,False,
alpha,alpha009970,2023-04-24 15:42:00,coffee,Nitro Flat White,0.25,155,69.75,1,155,85.25,0.55,delivery,credit card,M,False,
alpha,alpha010020,2023-04-25 08:52:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,M,False,
beta,beta014891,2023-04-26 10:15:00,tea,Yuzu Tea,0.5,70,24.5,2,140,91.0,0.65,to go,mobile,M,False,
beta,beta014938,2023-04-26 15:28:00,coffee,Americano,0.75,45,13.5,3,135,94.5,0.7,delivery,mobile,M,True,1063.0
alpha,alpha010369,2023-04-28 14:26:00,coffee,Nitro Flat White,0.75,155,69.75,3,465,255.75,0.55,eat in,credit card,M,True,268.0
beta,beta015273,2023-04-28 16:17:00,coffee,Mocha,0.0,70,28.0,1,70,42.0,0.6,eat in,mobile,F,True,1034.0
beta,beta015342,2023-04-29 09:25:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,to go,mobile,M,True,1052.0
alpha,alpha010473,2023-04-30 18:27:00,bakery,Cookie,,85,29.75,9,765,497.25,0.65,delivery,mobile,F,False,
alpha,alpha010505,2023-05-01 12:45:00,bakery,Cheesecake,,120,72.0,3,360,144.0,0.4,eat in,credit card,M,True,85.0
alpha,alpha010555,2023-05-02 08:58:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,True,245.0
alpha,alpha010560,2023-05-02 09:53:00,tea,Bubble Tea,0.0,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
beta,beta015596,2023-05-02 16:48:00,tea,Green Tea,0.25,65,19.5,3,195,136.5,0.7,delivery,mobile,F,True,89.0
beta,beta015859,2023-05-08 07:57:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,delivery,cash,F,True,1117.0
beta,beta016111,2023-05-09 19:15:00,tea,Yuzu Tea,0.25,70,24.5,1,70,45.5,0.65,to go,cash,M,True,182.0
alpha,alpha011253,2023-05-11 12:08:00,tea,Yuzu Tea,0.25,70,24.5,2,140,91.0,0.65,eat in,mobile,M,False,
beta,beta016256,2023-05-11 12:58:00,tea,Green Tea,0.25,65,19.5,2,130,91.0,0.7,eat in,mobile,F,False,
alpha,alpha011347,2023-05-12 10:27:00,coffee,Mocha,0.25,70,28.0,1,70,42.0,0.6,to go,mobile,F,False,
alpha,alpha011530,2023-05-15 11:25:00,tea,Black Tea,0.5,45,9.0,1,45,36.0,0.8,eat in,credit card,M,False,
beta,beta016606,2023-05-15 11:49:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,True,1044.0
alpha,alpha011557,2023-05-15 15:06:00,smoothie,Watermelon Smoothie,0.25,75,30.0,1,75,45.0,0.6,eat in,mobile,M,False,
beta,beta016690,2023-05-15 18:27:00,tea,Thai Tea,0.25,70,17.5,1,70,52.5,0.75,eat in,mobile,F,False,
alpha,alpha011597,2023-05-15 19:49:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,credit card,M,True,316.0
alpha,alpha011613,2023-05-16 08:52:00,bakery,Sandwich,,80,28.0,1,80,52.0,0.65,to go,credit card,F,False,
beta,beta016746,2023-05-16 12:18:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,F,True,247.0
beta,beta016842,2023-05-17 09:17:00,tea,Yuzu Tea,0.75,70,24.5,1,70,45.5,0.65,eat in,mobile,F,True,304.0
beta,beta016843,2023-05-17 09:29:00,bakery,Croissant,,85,46.75000000000001,2,170,76.49999999999999,0.4499999999999999,to go,mobile,F,True,153.0
beta,beta016854,2023-05-17 10:41:00,tea,Yuzu Tea,0.5,70,24.5,2,140,91.0,0.65,delivery,credit card,F,True,334.0
beta,beta016877,2023-05-17 13:10:00,tea,Yuzu Tea,0.75,70,24.5,2,140,91.0,0.65,to go,mobile,M,True,869.0
alpha,alpha011760,2023-05-17 16:13:00,tea,Thai Tea,0.0,70,17.5,1,70,52.5,0.75,to go,credit card,M,True,1005.0
alpha,alpha011781,2023-05-17 19:21:00,bakery,Cheesecake,,120,72.0,1,120,48.0,0.4,to go,credit card,M,False,
beta,beta016984,2023-05-18 13:01:00,tea,Thai Tea,0.25,70,17.5,2,140,105.0,0.75,delivery,mobile,M,True,278.0
alpha,alpha011849,2023-05-18 15:18:00,bakery,Donut,,40,12.0,1,40,28.0,0.7,to go,mobile,F,False,
alpha,alpha011855,2023-05-18 15:55:00,smoothie,Mango Smoothie,0.5,90,31.5,1,90,58.5,0.65,eat in,credit card,F,False,
alpha,alpha011925,2023-05-19 10:57:00,smoothie,Mango Smoothie,0.25,90,31.5,2,180,117.0,0.65,to go,mobile,M,False,
beta,beta017096,2023-05-19 11:20:00,smoothie,Watermelon Smoothie,0.75,75,30.0,1,75,45.0,0.6,to go,mobile,F,True,163.0
alpha,alpha011955,2023-05-19 13:58:00,bakery,Cookie,,85,29.75,1,85,55.25,0.65,eat in,cash,F,False,
beta,beta017157,2023-05-19 16:58:00,bakery,Cookie,,85,29.75,3,255,165.75,0.65,delivery,mobile,F,True,1183.0
beta,beta017187,2023-05-20 09:35:00,coffee,Iced Latte,0.75,65,19.5,1,65,45.5,0.7,to go,cash,F,True,1084.0
alpha,alpha012060,2023-05-20 15:53:00,coffee,Iced Americano,0.25,45,13.5,1,45,31.5,0.7,eat in,credit card,M,False,
beta,beta017481,2023-05-23 14:03:00,bakery,Donut,,40,12.0,3,120,84.0,0.7,eat in,mobile,F,True,351.0
alpha,alpha012287,2023-05-23 16:52:00,bakery,Cheesecake,,120,72.0,2,240,96.0,0.4,delivery,credit card,M,True,55.0
beta,beta017517,2023-05-23 17:39:00,bakery,Muffin,,60,27.0,1,60,33.0,0.55,to go,mobile,M,True,87.0
alpha,alpha012313,2023-05-23 19:58:00,bakery,Donut,,40,12.0,4,160,112.0,0.7,to go,credit card,F,False,
alpha,alpha012363,2023-05-24 15:14:00,tea,Yuzu Tea,0.5,70,24.5,1,70,45.5,0.65,eat in,credit card,M,True,845.0
beta,beta017675,2023-05-25 10:10:00,smoothie,Strawberry Smoothie,0.0,85,25.5,1,85,59.5,0.7,to go,mobile,M,True,322.0
